# Searching for station nr  7150 in ghcnm.tavg.v3.qca v3.3.0.20161102
# PARIS/LE BOURGET    FRANCE    (FRANCE)
# coordinates:  48.80N,    2.50E,      53.0m (prob:   52m)
# WMO station code:  7150 PARIS/LE_BOURGET              
# tavg [Celsius] daily mean temperature (adjusted) from GHCN-M v3.3.0.20161102
 1816    2.2    1.6    5.2    9.5   12.3   14.4   15.2   15.1   13.7   11.2    3.7    3.3
 1817    4.6    6.5    5.9    6.9   12.0   17.4   16.7   16.0   16.5    6.9    9.2    2.2
 1818    3.9    3.5    6.1   11.0   13.3   18.8   19.7   17.8   15.3   11.3    8.7    1.7
 1819    4.5    5.1    6.5   11.2   14.2   15.6   18.7   18.8   16.0   10.7    4.4    2.9
 1820   -1.1    2.5    3.6   11.2   13.7   15.2   17.9   18.3   13.8    9.7    4.7    2.9
 1821    2.7    0.6    6.9   11.2   11.7   14.1   16.6   19.7   16.3   10.7    9.8    7.1
 1822    4.0    5.7    9.5   10.7   16.3   20.8   18.5   18.5   15.5   12.8    8.6   -0.9
 1823   -0.7    4.9    6.1    8.8   14.8   14.6   16.7   18.7   15.3   10.2    5.3    5.2
 1824    2.3    4.7    5.4    8.6   12.2   16.1   18.3   18.0   16.1   11.5    9.2    6.7
 1825    3.1    3.9    5.2   11.5   13.8   16.6   19.9   19.0   17.5   11.8    6.9    6.0
 1826   -2.1    6.0    7.0    9.8   12.2   18.4   20.3   20.8   16.7   13.0    5.0    5.4
 1827   -0.6   -1.3    7.6   11.0   14.2   16.6   19.4   17.8   15.8   12.7    5.4    6.5
 1828    5.5    4.8    6.6   10.4   14.7   17.1   18.7   17.2   16.2   10.4    7.0    4.1
 1829   -2.5    2.3    5.3    9.4   14.5   16.8   18.2   16.6   13.3    9.6    4.3   -3.9
 1830   -2.9    0.8    8.5   11.6   14.2   15.7   18.5   16.6   13.4   10.2    7.5    2.2
 1831    1.5    5.6    8.7   11.1   13.8   16.5   19.3   18.3   15.0   14.3    6.2    5.1
 1832    1.1    3.0    5.2   10.3   12.8   16.9   19.1   20.4   15.1   10.9    6.3    3.9
 1833   -0.7    6.7    3.8    9.2   17.3   18.0   17.9   16.1   13.3   11.9    5.6    7.5
 1834    6.7    3.4    7.1    8.3   15.8   18.3   20.0   19.1   17.2   11.5    6.7    3.6
 1835    3.2    5.9    6.1    9.0   13.4   16.9   20.7   18.9   15.7    9.7    5.0   -0.3
 1836    2.2    2.5    8.4    8.2   12.0   18.0   19.0   18.5   13.7   10.8    7.2    3.7
 1837    2.0    5.0    2.2    5.3   10.6   18.1   17.9   19.7   14.2   10.9    5.6    4.0
 1838   -5.0    1.7    6.6    6.3   13.8   15.8   17.9   17.6   15.1   10.8    7.3    1.4
 1839    2.4    4.7    5.5    7.3   13.2   18.7   18.2   17.0   15.3   10.2    7.8    5.3
 1840    3.0    3.2    3.0   12.3   14.7   17.9   16.9   19.4   14.4    9.1    7.6   -3.1
